lng,lat,_v,t_e,estacion_id,distrito,provincia,departamento,tipo_2,tipo,code_tipo,name
-77.867166666667,-6.2083333333333,F,M,000375,CHACHAPOYAS,CHACHAPOYAS,AMAZONAS,Meteorologica,Convencional,CON,CHACHAPOYAS - 000375
-77.800277777778,-6.5502777777778,P,M,153224,MARISCAL CASTILLA,CHACHAPOYAS,AMAZONAS,Meteorologica,Convencional,CON,LEIMEBAMBA - 153224
-78.534019444444,-5.6614194444444,F,M1,472C57D4,BAGUA,BAGUA,AMAZONAS,Meteorologica 1,Automatica - Sutron,SUT,BAGUA - 472C57D4
-78.400277777778,-5.6002777777778,C,H,221508,BAGUA,BAGUA,AMAZONAS,Hidrologica,Convencional,CON,LA PECA - 221508
-78.436138888889,-5.4195833333333,F,M,000261,ARAMANGO,BAGUA,AMAZONAS,Meteorologica,Convencional,CON,ARAMANGO - 000261
-78.433611111111,-5.4169444444444,P,M,152205,ARAMANGO,BAGUA,AMAZONAS,Meteorologica,Convencional,CON,CHINGANZA - 152205
-78.483611111111,-5.4669444444444,C,H,221302,ARAMANGO,BAGUA,AMAZONAS,Hidrologica,Convencional,CON,AMOJAO - 221302
-78.366944444444,-5.0669444444444,C,M,152222,IMAZA,BAGUA,AMAZONAS,Meteorologica,Convencional,CON,SAN RAFAEL - 152222
-78.366944444444,-5.0836111111111,C,M,000205,IMAZA,BAGUA,AMAZONAS,Meteorologica,Convencional,CON,IMACITA - 000205
-78.288055555556,-5.1614444444444,F,M,000229,IMAZA,BAGUA,AMAZONAS,Meteorologica,Convencional,CON,CHIRIACO - 000229
-77.750277777778,-5.8836111111111,C,M,152209,CHISQUILLA,BONGARA,AMAZONAS,Meteorologica,Convencional,CON,JUMBILLA - 152209
-77.916944444444,-5.8002777777778,C,M,000254,FLORIDA,BONGARA,AMAZONAS,Meteorologica,Convencional,CON,POMACOCHAS - 000254
-77.975694444444,-5.9449444444444,F,M,000272,JAZAN,BONGARA,AMAZONAS,Meteorologica,Convencional,CON,JAZAN - 000272
-77.850277777778,-5.7002777777778,C,H,221601,YAMBRASBAMBA,BONGARA,AMAZONAS,Hidrologica,Convencional,CON,BALSAPATA - 221601
-77.939277777778,-4.8303888888889,F,M,000256,NIEVA,CONDORCANQUI,AMAZONAS,Meteorologica,Convencional,CON,SANTA MARIA DE NIEVA - 000256
-77.633611111111,-4.4336111111111,C,M,152223,RIO SANTIAGO,CONDORCANQUI,AMAZONAS,Meteorologica,Convencional,CON,PINGLO - 152223
-77.816944444444,-3.0669444444444,C,M,151305,RIO SANTIAGO,CONDORCANQUI,AMAZONAS,Meteorologica,Convencional,CON,SUBTENIENTE CASTRO - 151305
-77.816944444444,-3.0669444444444,C,M,000271,RIO SANTIAGO,CONDORCANQUI,AMAZONAS,Meteorologica,Convencional,CON,CASTRO - 000271
-77.833611111111,-3.0169444444444,C,M,152224,RIO SANTIAGO,CONDORCANQUI,AMAZONAS,Meteorologica,Convencional,CON,CAHUIDE - 152224
-77.416944444444,-6.3002777777778,C,M,000376,MARISCAL BENAVIDES,RODRIGUEZ DE MENDO,AMAZONAS,Meteorologica,Convencional,CON,RODRIGUEZ. DE MENDOZA - 000376
-78.366944444444,-5.8502777777778,C,M,000259,BAGUA GRANDE,UTCUBAMBA,AMAZONAS,Meteorologica,Convencional,CON,HACIENDA CAIMITO - 000259
-78.523055555556,-5.7561944444444,F,M,152204,BAGUA GRANDE,UTCUBAMBA,AMAZONAS,Meteorologica,Convencional,CON,EL PINTOR - 152204
-78.550277777778,-5.8002777777778,P,H,221505,BAGUA GRANDE,UTCUBAMBA,AMAZONAS,Hidrologica,Convencional,CON,EL PINTOR - 221505
-78.466944444444,-5.8002777777778,P,H,221503,BAGUA GRANDE,UTCUBAMBA,AMAZONAS,Hidrologica,Convencional,CON,JAHUANGA - 221503
-78.431555555556,-5.7556944444444,F,H,221501,BAGUA GRANDE,UTCUBAMBA,AMAZONAS,Hidrologica,Convencional,CON,LOS NARANJOS - 221501
-78.333611111111,-5.8336111111111,C,H,221504,BAGUA GRANDE,UTCUBAMBA,AMAZONAS,Hidrologica,Convencional,CON,QUEBRADA HONDA - 221504
-78.583611111111,-5.9336111111111,C,H,220903,CUMBA,UTCUBAMBA,AMAZONAS,Hidrologica,Convencional,CON,CUMBA - 220903
-78.533972222222,-5.6615,F,M,000253,EL MILAGRO,UTCUBAMBA,AMAZONAS,Meteorologica,Convencional,CON,BAGUA CHICA - 000253
-78.166944444444,-5.9669444444444,C,M,152207,JAMALCA,UTCUBAMBA,AMAZONAS,Meteorologica,Convencional,CON,TAMBOLIC - 152207
-78.23725,-5.8936944444444,F,M,152206,JAMALCA,UTCUBAMBA,AMAZONAS,Meteorologica,Convencional,CON,JAMALCA - 152206
-78.188861111111,-5.8910555555556,F,M,152210,JAMALCA,UTCUBAMBA,AMAZONAS,Meteorologica,Convencional,CON,MAGUNCHAL - 152210
-78.187647222222,-5.8900555555556,F,H,221506,JAMALCA,UTCUBAMBA,AMAZONAS,Hidrologica,Convencional,CON,MAGUNCHAL - 221506
